question,document
"Why is my Explanation column in the offline rag evaluation notebook getting truncated, and how can I see the whole thing?",641aedbbf5
What setting do I need in Pandas to display the entire judge LLM explanation without the ...?,641aedbbf5
"In the LLM-as-judge part of the notebook, how can I view the full content of a long text column?",641aedbbf5
Is there a Pandas option to stop column text from being limited to 50 characters?,641aedbbf5
How do I normalize vectors inside a Pandas DataFrame column?,5039707c1a
What's the easiest way to normalize each vector in a Pandas Series?,5039707c1a
How can I create a new column with normalized vectors from an existing one?,5039707c1a
Is there a simple NumPy-based function for vector normalization in Pandas?,5039707c1a
How do I apply normalization to every vector stored in a DataFrame column?,5039707c1a
How do I calculate the 75th percentile for a column in a Pandas DataFrame?,b4c8ac5a0c
What’s the Pandas way to get the 0.75 quantile of a Series?,b4c8ac5a0c
"How can I find a column’s percentile value in Pandas, like the 75% one?",b4c8ac5a0c
Is there a simple function in Pandas to compute quantiles for a DataFrame column?,b4c8ac5a0c
"How do I use Pandas to get the 75% quantile from df[""col""]?",b4c8ac5a0c
"How do I wipe out every Docker container from the terminal, even the running ones?",66ccbb7da0
What’s the command to force-remove all Docker images on my machine?,66ccbb7da0
How can I delete all Docker volumes in one terminal command?,66ccbb7da0
"Is there a quick way to clean up all containers, images, and volumes at once?",66ccbb7da0
What terminal commands should I run if I want to fully reset Docker and remove everything?,66ccbb7da0
"How do I make sure a user can only leave feedback once per submission in Streamlit, like only +1 or -1 after pressing ask?",2e729f1271
Why does `st.session.submitted` keep getting set back to True after I click one of the feedback buttons?,2e729f1271
Is there a known fix for the Streamlit session state issue where the submitted flag changes again after feedback is sent?,2e729f1271
How can I disable the feedback buttons unless `st.session.submitted` is False and keep that state from resetting?,2e729f1271
Where can I find the solution for the Streamlit Discuss issue about session attributes being reassigned unexpectedly?,2e729f1271
"Why do I get ""streamlit: executable file not found in $PATH"" when I start my app with docker-compose, even though it works locally?",e8df9f0d12
What do I need to check in my Docker setup if a Streamlit app crashes in docker-compose with an OCI runtime error?,e8df9f0d12
How can I fix the docker-compose error where it says it can't find the streamlit executable inside the container?,e8df9f0d12
Do I need to rebuild the image after adding Streamlit to docker-compose and creating a Dockerfile?,e8df9f0d12
What is the proper way to run a Streamlit app in Docker Compose when the app runs fine outside Docker?,e8df9f0d12
"Can we do the capstone in a group, or does every student need to submit their own project?",0fab61eca2
"If I brainstorm the capstone idea with classmates, is that still okay as long as the final submission is mine?",0fab61eca2
What happens if two people build one shared system for the capstone — is that allowed at all?,0fab61eca2
Can a project count for multiple students if each person has their own repo and their own part of the work?,0fab61eca2
How do you decide whether a capstone project can be graded separately for each student?,0fab61eca2
"Do I need to submit two capstone projects, or just one?",d5fc98925d
What does attempt 1 vs attempt 2 mean for the project submission?,d5fc98925d
"If my first submission doesn’t pass, can I fix it and send it again later?",d5fc98925d
"If I miss the first submission window, can I still submit for the second one?",d5fc98925d
"If I decide to do two projects, do they need to be on different datasets and different problem statements?",d5fc98925d
"Is the competition considered the capstone project, or is it separate?",e892d44e42
Can I use the competition as my capstone submission?,e892d44e42
"Are we allowed to do the competition in a team, even if the capstone has to be individual?",e892d44e42
"If I join the math-kaggle-llm-competition, does that count toward the capstone requirement?",e892d44e42
"Do I need to complete the capstone on my own, or can a group replace it?",e892d44e42
How will my capstone project be graded in the end?,9a2e2d2008
Who reviews the capstone project after I submit it?,9a2e2d2008
Do I need to review other students’ capstone projects too?,9a2e2d2008
What happens if I don’t grade the three projects I’m assigned?,9a2e2d2008
How is the final score calculated from the peer reviews?,9a2e2d2008
When do we get assigned capstone projects to review and grade?,eae0fb50aa
How will the project review assignments be shared after the deadline?,eae0fb50aa
How many projects does each participant have to grade in the capstone?,eae0fb50aa
Do we get the review assignments before or after submissions close?,eae0fb50aa
What format will the assigned projects list come in for grading?,eae0fb50aa
"I already turned in my capstone project, so why don’t I see any projects I can review yet?",a8a7fef016
"After the submission deadline passes, how do the project reviews get assigned?",a8a7fef016
"Can I pick which capstone projects I want to evaluate, or is it assigned for me?",a8a7fef016
Why is the review list still empty even though I submitted my project already?,a8a7fef016
"Am I supposed to start reviewing projects before the list is released, or do I have to wait?",a8a7fef016
Where can I look for project ideas and datasets for the capstone?,e76a70cde3
Is there a GitHub page with some dataset ideas I can use for the project?,e76a70cde3
What’s the best place to find tips and guidelines for the capstone project?,e76a70cde3
Can you point me to a page that lists possible ideas for the project?,e76a70cde3
Do you have a link with datasets and project suggestions for this course?,e76a70cde3
"Do I actually need Airflow, Mage, or Kestra for the capstone ingestion pipeline, or is a plain Python script enough?",d4f7c08ea1
"If I build the capstone ingestion with a Jupyter notebook instead of a script, will that still count for full points?",d4f7c08ea1
"Should I use an orchestration tool just to satisfy the project rubric, or only if my project really needs scheduled runs?",d4f7c08ea1
"For a data feed that updates every day, would an orchestrator make sense in the capstone project?",d4f7c08ea1
What’s the difference in points between using a Python ingestion script and a Jupyter notebook in the capstone?,d4f7c08ea1
How can I evaluate a recommender-style RAG when I don’t have clear question-answer labels?,9b0e2d6a47
What’s a good way to create synthetic ground truth for ranking-style retrieval in a capstone project?,9b0e2d6a47
How do I test whether my retriever returns the right item at the top using generated queries?,9b0e2d6a47
Is there a way to use an LLM as a judge to score the end-to-end quality of my RAG outputs?,9b0e2d6a47
"For recommender RAG systems, should I use hit rate or NDCG, and why?",9b0e2d6a47
"What chunk size should I start with for a huge PDF corpus, and should I add overlap right away?",6f2a8b3d10
Is it worth asking an LLM to split documents into sections instead of using a simple chunker?,6f2a8b3d10
"Would adding short summaries to each chunk actually help retrieval, or is that overkill?",6f2a8b3d10
"For long legal or financial docs, should I rely on dense embeddings only, or mix in BM25 too?",6f2a8b3d10
"Which PDF-to-markdown tools are good before chunking, and when would I use something like GROBID?",6f2a8b3d10
"In the capstone project, what does reproducibility actually mean for the reviewer?",e5d8a2c761
Do I need to put my API keys or hosted-service credentials in the repo so someone else can run it?,e5d8a2c761
What should I include so a reviewer can rebuild the search index and set up the project from scratch?,e5d8a2c761
How do I handle environment variables for the project — should I commit a .env file or just provide an example?,e5d8a2c761
"What’s the best way to avoid expensive usage when reviewers run my project, and do I need to pin dependency versions too?",e5d8a2c761
"Can I do the homework or capstone project in something other than Python, like JavaScript, Go, Rust, or Java?",ea815eb858
"Is it actually allowed to submit the project in a non-Python stack, or do you expect everything to be in Python?",ea815eb858
"If I really want to use another language for the project, what kind of README or setup instructions do I need to provide?",ea815eb858
"Will a solution in TypeScript, Scala, C#, or R be acceptable for review, or does that make things too hard to check?",ea815eb858
What should I include so my non-Python homework or capstone submission is still easy for the reviewer to run and reproduce?,ea815eb858
Where do I look to see past LLM Zoomcamp capstone projects?,930286278d
Is there a place with examples of projects from earlier LLM Zoomcamp cohorts?,930286278d
Can I browse submitted LLM Zoomcamp capstone repos somewhere?,930286278d
Do you have links for previous year LLM Zoomcamp project submissions?,930286278d
Where can I check the 2024 and 2025 LLM Zoomcamp projects?,930286278d
Do I have to reserve my capstone project idea before I start working on it?,897a350476
Is there any need to announce my project topic in advance for the capstone?,897a350476
Can I get feedback on my capstone idea somewhere before I begin?,897a350476
"Is it okay if my project is similar to one from a previous year, or do I need a totally original topic?",897a350476
Where can I check past LLM Zoomcamp projects to get a sense of the expected scope?,897a350476
Can I build my capstone as a Telegram or WhatsApp bot instead of a website?,7318a90b14
"Is it okay to use a CLI, notebook, or Slack app for the project interface?",7318a90b14
"Do I have to make the project as a web app, or can I choose any user interface?",7318a90b14
Are there any rules about how the final project should be presented to users?,7318a90b14
"Will the course teach me how to create the interface, or do I need to handle that myself?",7318a90b14
"What’s the best tool to pull text out of PDFs for a RAG app, or does the course expect a specific one?",d8b28c47a0
"If my PDFs are scanned images and don’t have a text layer, what should I use to extract the content?",d8b28c47a0
Is there a library that can turn PDFs into Markdown or JSON in a way that works well for RAG?,d8b28c47a0
"Should I use something like PyMuPDF, unstructured, or an OCR API when preparing documents from PDFs?",d8b28c47a0
How do I choose between local extraction tools and hosted OCR services for my RAG documents?,d8b28c47a0
"Can I use the workshop content in my own capstone project, or is it just for the class?",d850a0e7ea
Is it okay to reuse the dlt workshop materials for another project outside this workshop?,d850a0e7ea
"Can I apply what I learned here to an MLOps Zoomcamp project, or is that not allowed?",d850a0e7ea
"Since dlt is open source, does that mean I can build on top of it in my own work?",d850a0e7ea
"If I have questions while using the workshop content in my project, can I still ask about it?",d850a0e7ea
How do I create a fresh dlt project for loading files from cloud storage into DuckDB?,6bceeebf04
What command should I run to initialize a new dlt setup for a filesystem source?,6bceeebf04
I'm starting with cloud files and DuckDB in dlt — what’s the init command?,6bceeebf04
How can I bootstrap a dlt project when the source is a filesystem?,6bceeebf04
What’s the quickest way to set up dlt for loading data from cloud files?,6bceeebf04
"Why am I getting `FileNotFoundError: Table notion_pages___homework does not exist` when I run `db.open_table(""notion_pages___homework"")`?",0407213397
What should I check if `db.create_table(...)` says the table doesn't exist in my dlt pipeline?,0407213397
"I renamed the table to homework, but opening `notion_pages___homework` still fails — what did I miss?",0407213397
How do I fix the `Table ... does not exist` error in the Open-Source Data Ingestion workshop pipeline?,0407213397
"If my pipeline still uses `employee_handbook`, why does `db.open_table(""notion_pages___homework"")` break and how do I solve it?",0407213397
Why am I getting FileNotFoundError saying the notion_pages___homework table does not exist when I run main() ?,e95bfafc0e
What should I change in line 3 if db.open_table is failing for notion_pages___homework ?,e95bfafc0e
Is there a specific table name I need to use for the homework data in the Notion pages example ?,e95bfafc0e
"I see an error about create_table being needed first, but how do I open the right table in this workshop code ?",e95bfafc0e
Where should I point dbtable so the homework table is found correctly in the dlt ingestion script ?,e95bfafc0e
How can I see what tables exist in the database?,e394e6f738
Is there a method to list all database tables?,e394e6f738
How do I check the table names in db?,e394e6f738
What command shows every table in the database?,e394e6f738
How can I get the full list of tables from the db object?,e394e6f738
Does dlt already support ClickHouse or StarRocks connectors?,cd19f122f3
Can I use dlt to load data into ClickHouse or StarRocks?,cd19f122f3
Are there official connectors in dlt for ClickHouse and StarRocks?,cd19f122f3
Is ClickHouse or StarRocks integration available in dlt right now?,cd19f122f3
"If dlt doesn’t have ClickHouse or StarRocks connectors yet, can the community add them?",cd19f122f3
Why am I getting a 401 Unauthorized when the notebook calls the Notion search API?,0dfba07ace
What should I check if my notebook says it has no secret access for api.notion.com/v1/search?,0dfba07ace
"Could this Notion API error be caused by a bad or expired token, and how do I fix it?",0dfba07ace
How do I troubleshoot authorization problems with the Notion API in the dlt workshop notebook?,0dfba07ace
I keep seeing an auth error from Notion in the notebook — what settings or permissions should I verify?,0dfba07ace
"Why am I getting a 401 Client Error when using the key, and is it always a permissions issue?",4b30b918bc
How do I install requests 2.32.3 directly from GitHub instead of getting the older pip version?,4b30b918bc
What's the exact pip command to force the right requests release for lancedb?,4b30b918bc
"Could the 401 error mean my key is wrong, or do I just need to enable access for it?",4b30b918bc
"Why does my setup keep pulling requests 2.28, and how can I make it use the needed version?",4b30b918bc
