question,answer_llm,answer_orig,document
Is it normal that the FAQ data count changes when I run the code now?,"Yes — that’s normal. The FAQ dataset is live and changes over time, so the record count can differ from what was shown in the videos.","We load the data from the live FAQ dataset, which changes over time: new questions are added and old ones are deleted. The videos were recorded in May 2026, so by the time you run the code the count is different from what you see in the videos.",e2d595f23c
Why don't I get the same number of FAQ entries as in the recording?,"The FAQ dataset is live and changes over time, so the number of entries can differ from what was shown in the recording. The videos were recorded in May 2026, and since then new questions may have been added and old ones removed.","We load the data from the live FAQ dataset, which changes over time: new questions are added and old ones are deleted. The videos were recorded in May 2026, so by the time you run the code the count is different from what you see in the videos.",e2d595f23c
Did the FAQ dataset get updated since the videos were made?,"Yes. The FAQ dataset is live, so it changes over time: new questions are added and old ones are deleted. The videos were recorded in May 2026, so the dataset may have been updated since then.","We load the data from the live FAQ dataset, which changes over time: new questions are added and old ones are deleted. The videos were recorded in May 2026, so by the time you run the code the count is different from what you see in the videos.",e2d595f23c
Why is the record count in the live FAQ data not matching the video demo?,"The live FAQ dataset changes over time: new questions get added and old ones get deleted. The videos were recorded in May 2026, so the record count can differ from what you see in the demo.","We load the data from the live FAQ dataset, which changes over time: new questions are added and old ones are deleted. The videos were recorded in May 2026, so by the time you run the code the count is different from what you see in the videos.",e2d595f23c
Can I still submit homework after the deadline if the form is still open?,"Yes. As long as the homework submission form is still open, you can submit even if the deadline has already passed. You can only no longer submit once the form has been closed.","Yes. As long as the submission form is still open, you can submit your answers, even if the listed deadline has already passed. You can no longer submit only after the form has been closed — so while it's still open, go ahead and submit.",a9353fadfe
The due date passed but the submission form is open — does that mean I can submit anyway?,"Yes. As long as the submission form is still open, you can submit even if the deadline has passed. You can only no longer submit once the form is closed.","Yes. As long as the submission form is still open, you can submit your answers, even if the listed deadline has already passed. You can no longer submit only after the form has been closed — so while it's still open, go ahead and submit.",a9353fadfe
Is it allowed to turn in answers late as long as the homework form hasn't closed yet?,"Yes — as long as the homework submission form is still open, you can submit even if the deadline has already passed. Once the form is closed, late submissions are no longer allowed.","Yes. As long as the submission form is still open, you can submit your answers, even if the listed deadline has already passed. You can no longer submit only after the form has been closed — so while it's still open, go ahead and submit.",a9353fadfe
"If the deadline is over, do I still have a chance to submit before the form closes?","Yes. If the form is still open, you can still submit even after the deadline has passed. You can only no longer submit once the form has been closed.","Yes. As long as the submission form is still open, you can submit your answers, even if the listed deadline has already passed. You can no longer submit only after the form has been closed — so while it's still open, go ahead and submit.",a9353fadfe
When does homework submission actually stop: at the deadline or only when the form is closed?,"Homework submission stops only when the form is closed, not just when the deadline passes. As long as the form is still open, you can submit.","Yes. As long as the submission form is still open, you can submit your answers, even if the listed deadline has already passed. You can no longer submit only after the form has been closed — so while it's still open, go ahead and submit.",a9353fadfe
"Can I still turn in homework if the deadline passed, as long as the submission form is still open?","Yes — as long as the submission form is still open, you can still turn in the homework even if the deadline has passed. You can’t submit only after the form has been closed.","No. We don't give individual deadline extensions, and once the homework submission form is closed you can no longer submit it — there are no late submissions. While the form is still open you can submit, even if the listed deadline has already passed.

Missing a homework won't affect your certificate: homework isn't mandatory, only passing the Capstone project is. Homework points only count toward your leaderboard rank, so you'll still appear on the leaderboard with your other submissions.",cdc3b285e5
Do you ever give students extra time or a personal deadline extension for homework?,"No. We don't give individual deadline extensions or extra time for homework. Once the submission form is closed, you can no longer submit it.","No. We don't give individual deadline extensions, and once the homework submission form is closed you can no longer submit it — there are no late submissions. While the form is still open you can submit, even if the listed deadline has already passed.

Missing a homework won't affect your certificate: homework isn't mandatory, only passing the Capstone project is. Homework points only count toward your leaderboard rank, so you'll still appear on the leaderboard with your other submissions.",cdc3b285e5
What happens if I miss a homework assignment — does it hurt my chance to get the certificate?,"No. Missing a homework assignment does not hurt your chance to get the certificate. You only need to pass the Capstone project to get the certificate, and homework is not mandatory. It is recommended, though, and the points do count toward your leaderboard rank.","No. We don't give individual deadline extensions, and once the homework submission form is closed you can no longer submit it — there are no late submissions. While the form is still open you can submit, even if the listed deadline has already passed.

Missing a homework won't affect your certificate: homework isn't mandatory, only passing the Capstone project is. Homework points only count toward your leaderboard rank, so you'll still appear on the leaderboard with your other submissions.",cdc3b285e5
Are late homework submissions allowed once the form has closed?,"No. Once the homework submission form has closed, late submissions are not allowed. While the form is still open, you can still submit even if the deadline has passed.","No. We don't give individual deadline extensions, and once the homework submission form is closed you can no longer submit it — there are no late submissions. While the form is still open you can submit, even if the listed deadline has already passed.

Missing a homework won't affect your certificate: homework isn't mandatory, only passing the Capstone project is. Homework points only count toward your leaderboard rank, so you'll still appear on the leaderboard with your other submissions.",cdc3b285e5
"Do homework scores matter for the certificate, or are they only used for the leaderboard?",Homework scores only count toward your leaderboard rank. They are not mandatory for the certificate; you need to pass the Capstone project to get the certificate.,"No. We don't give individual deadline extensions, and once the homework submission form is closed you can no longer submit it — there are no late submissions. While the form is still open you can submit, even if the listed deadline has already passed.

Missing a homework won't affect your certificate: homework isn't mandatory, only passing the Capstone project is. Homework points only count toward your leaderboard rank, so you'll still appear on the leaderboard with your other submissions.",cdc3b285e5
Is the name I enter for the certificate going to be public anywhere or shared with anyone else?,No. The certificate name only appears on your certificate — it isn’t published online or shared with third parties. The public leaderboard uses your separate display name instead.,"No. The certificate name only appears on your certificate — it isn't published online or shared with third parties. The public leaderboard uses your separate display name instead, which is a random nickname (like “Lucid Elbakyan”) and anonymous by default.

You can set both in “Edit Course Profile”: the first field is your public nickname for the leaderboard, and the second is the official name printed on your certificate. This lets you keep your real name off the public leaderboard while still having it on the certificate.",651ba06b34
"What name shows up on the leaderboard, and is it the same as the certificate name?","The leaderboard shows your public **display name** or **nickname** — by default, a random anonymous name like **“Lucid Elbakyan.”**  
No, it is **not** the same as the certificate name. The **certificate name** is separate and only appears on your certificate.","No. The certificate name only appears on your certificate — it isn't published online or shared with third parties. The public leaderboard uses your separate display name instead, which is a random nickname (like “Lucid Elbakyan”) and anonymous by default.

You can set both in “Edit Course Profile”: the first field is your public nickname for the leaderboard, and the second is the official name printed on your certificate. This lets you keep your real name off the public leaderboard while still having it on the certificate.",651ba06b34
Can I keep my real name off the public profile but still have it on the certificate?,"Yes. You can keep your real name off the public leaderboard/profile by using a nickname or anonymous display name, while still putting your official name in the certificate field so it appears only on the certificate.","No. The certificate name only appears on your certificate — it isn't published online or shared with third parties. The public leaderboard uses your separate display name instead, which is a random nickname (like “Lucid Elbakyan”) and anonymous by default.

You can set both in “Edit Course Profile”: the first field is your public nickname for the leaderboard, and the second is the official name printed on your certificate. This lets you keep your real name off the public leaderboard while still having it on the certificate.",651ba06b34
"In Edit Course Profile, which field is for the leaderboard nickname and which one is for the certificate name?","In **Edit Course Profile**:

- **First field**: your **leaderboard nickname / display name**
- **Second field**: your **certificate name** (the official name printed on the certificate)","No. The certificate name only appears on your certificate — it isn't published online or shared with third parties. The public leaderboard uses your separate display name instead, which is a random nickname (like “Lucid Elbakyan”) and anonymous by default.

You can set both in “Edit Course Profile”: the first field is your public nickname for the leaderboard, and the second is the official name printed on your certificate. This lets you keep your real name off the public leaderboard while still having it on the certificate.",651ba06b34
"Does the certificate name get published online, or is it only printed on the certificate itself?",No — the certificate name is only printed on your certificate. It is not published online or shared with third parties.,"No. The certificate name only appears on your certificate — it isn't published online or shared with third parties. The public leaderboard uses your separate display name instead, which is a random nickname (like “Lucid Elbakyan”) and anonymous by default.

You can set both in “Edit Course Profile”: the first field is your public nickname for the leaderboard, and the second is the official name printed on your certificate. This lets you keep your real name off the public leaderboard while still having it on the certificate.",651ba06b34
Why doesn’t this course start with LangChain right away?,"Because the course first teaches the core RAG building blocks directly—prompting, retrieval, indexing, and evaluation—before introducing frameworks like LangChain.

The idea is similar to learning HTML, CSS, and JavaScript before using React or Angular: once you understand what the framework automates, you can use it much more effectively.","LangChain is a framework for building LLM-powered apps. In this course, we first build the core pieces ourselves: prompting, retrieval, indexing, and evaluation.

Think of it like learning HTML, CSS, and JavaScript before using React or Angular. Frameworks are easier to use well once you understand what they automate.",b7cdde6b25
What’s the reason for building the RAG parts manually instead of using a framework?,"The reason is to learn the core RAG pieces yourself first — prompting, retrieval, indexing, and evaluation — instead of relying on a framework to hide them.

Like learning HTML, CSS, and JavaScript before React or Angular, you understand what the framework is automating, which makes it easier to use well later.","LangChain is a framework for building LLM-powered apps. In this course, we first build the core pieces ourselves: prompting, retrieval, indexing, and evaluation.

Think of it like learning HTML, CSS, and JavaScript before using React or Angular. Frameworks are easier to use well once you understand what they automate.",b7cdde6b25
Is LangChain avoided because the course wants us to learn the basics first?,"Yes. The course avoids using LangChain at first so you can learn the core building blocks yourself: prompting, retrieval, indexing, and evaluation. The idea is to understand the basics before using a framework that automates them.","LangChain is a framework for building LLM-powered apps. In this course, we first build the core pieces ourselves: prompting, retrieval, indexing, and evaluation.

Think of it like learning HTML, CSS, and JavaScript before using React or Angular. Frameworks are easier to use well once you understand what they automate.",b7cdde6b25
"What do we gain by implementing prompting, retrieval, indexing, and evaluation ourselves before using tools like LangChain?","We gain a better understanding of the core mechanics behind RAG and LLM apps.

By building prompting, retrieval, indexing, and evaluation ourselves first, we learn what frameworks like LangChain are automating, so we can use them more effectively later. It’s like learning HTML, CSS, and JavaScript before moving to React or Angular.","LangChain is a framework for building LLM-powered apps. In this course, we first build the core pieces ourselves: prompting, retrieval, indexing, and evaluation.

Think of it like learning HTML, CSS, and JavaScript before using React or Angular. Frameworks are easier to use well once you understand what they automate.",b7cdde6b25
"Can you explain why the course treats LangChain like React or Angular after learning HTML, CSS, and JavaScript?","Because the course wants you to understand the **core mechanics first** before relying on a framework.

LangChain is treated like React or Angular in this analogy:

- **HTML, CSS, JavaScript** teach you the building blocks of web apps.
- **React/Angular** help you build faster, but they make more sense once you already understand those basics.
- Similarly, the course teaches **prompting, retrieval, indexing, and evaluation** directly first.
- Then, once you know what those pieces do, you can use **LangChain** more effectively because you understand what it is automating.

So the idea is: learn the fundamentals first, then use the framework.","LangChain is a framework for building LLM-powered apps. In this course, we first build the core pieces ourselves: prompting, retrieval, indexing, and evaluation.

Think of it like learning HTML, CSS, and JavaScript before using React or Angular. Frameworks are easier to use well once you understand what they automate.",b7cdde6b25
Why am I getting an OpenAI API error about insufficient credits when I run responses.create?,"You’re getting that error because your OpenAI account doesn’t have enough API quota/credits.

In this course context, the fix is:

1. Add credits to your OpenAI account, at least $5.
2. Make sure you’re using a model you have access to in `responses.create(...)`.
3. If needed, recreate your API key after adding credits and update it locally.

There is no free usage of the OpenAI API, so an “insufficient credits” error usually means billing needs to be enabled or topped up.","You may receive the following error when running the OpenAI `responses.create` command due to insufficient credits in your OpenAI account:

```
OpenAI API Error: Insufficient credits
```",f5df151c59
"What does it mean if responses.create fails with an ""Insufficient credits"" message?",It means your OpenAI account doesn’t have enough credits to complete the request.,"You may receive the following error when running the OpenAI `responses.create` command due to insufficient credits in your OpenAI account:

```
OpenAI API Error: Insufficient credits
```",f5df151c59
How do I fix the OpenAI error that shows up when using the responses.create command?,"You may be seeing an **Insufficient credits** / **quota** error when calling `responses.create`.

To fix it:

1. **Add credits to your OpenAI account**  
   Go to billing and add at least $5:
   https://platform.openai.com/settings/organization/billing/overview

2. **Make sure you’re using a model available to your account**  
   For example, in:
   ```python
   responses.create(model='gpt-4o', ...)
   ```
   choose a model you actually have access to.

3. **Recreate your API key if needed**  
   After adding credits, you may need to generate a new API key and update it locally.

If you’re actually using **OpenRouter** rather than OpenAI, the fix is a bit different: set a lower `max_output_tokens` value, such as `1024`, in `responses.create()`.","You may receive the following error when running the OpenAI `responses.create` command due to insufficient credits in your OpenAI account:

```
OpenAI API Error: Insufficient credits
```",f5df151c59
Is the responses.create command failing because my OpenAI account has no credits left?,"Yes — if you’re getting an OpenAI API `429` / `insufficient_quota` error, it means your account has run out of quota or credits.

You should:
1. Add credits to your OpenAI account.
2. Make sure your API key is valid.
3. Recreate the key if needed after adding funds.

If you mean the OpenRouter `responses.create` case, that can also fail for quota/limits, but the exact behavior depends on the endpoint.","You may receive the following error when running the OpenAI `responses.create` command due to insufficient credits in your OpenAI account:

```
OpenAI API Error: Insufficient credits
```",f5df151c59
What should I check in my OpenAI account if I see an insufficient credits error on responses.create?,"Check your OpenAI API account’s **quota/billing**:

- Make sure you have **credits added** to the account
- Check your **billing details / pay-as-you-go** setup
- Verify you’re using an **API key** tied to that billed account

If needed, add at least **$5** in credits, then try again. You may also need to **create a new API key** after adding credits.","You may receive the following error when running the OpenAI `responses.create` command due to insufficient credits in your OpenAI account:

```
OpenAI API Error: Insufficient credits
```",f5df151c59
Why am I getting a 429 RateLimitError from OpenAI even though my code looks fine?,"A 429 `RateLimitError` from OpenAI can mean your account has **insufficient quota/credits**, not that your code is wrong.

In the course context, the fix is:

1. Add credits to your OpenAI account (pay-as-you-go, minimum $5).
2. Make sure you’re using a model available to your account.
3. If needed, recreate your API key after adding credits and update it locally.

So the issue is usually **billing/quota**, not the code itself.","```json
RateLimitError: Error code: 429 - {'error': {'message': 'You exceeded your current quota, please check your plan and billing details. For more information on this error, read the docs: [https://platform.openai.com/docs/guides/error-codes/api-errors.](https://platform.openai.com/docs/guides/error-codes/api-errors.)', 'type': 'insufficient_quota', 'param': None, 'code': 'insufficient_quota'}
```

The above errors are related to your OpenAI API account’s quota. There is no free usage of OpenAI’s API, so you will need to add funds using a credit card (see pay-as-you-go in the OpenAI settings at [platform.openai.com](http://platform.openai.com)). Once added, re-run your Python command and you should receive a successful return code.

Steps to resolve:

1. Add credits to your account [here](https://platform.openai.com/settings/organization/billing/overview) (min $5).
2. In `responses.create(model='gpt-4o', …)` specify one of the models available to you:

   <{IMAGE:image_1}>

3. You might need to recreate an API key after adding credits to your account and update it locally.",152af39a53
"Does OpenAI API have any free quota, or do I need to add billing before using it?","There is no free usage of OpenAI’s API in this context, so you need to add billing/credits before using it. The minimum mentioned is $5.","```json
RateLimitError: Error code: 429 - {'error': {'message': 'You exceeded your current quota, please check your plan and billing details. For more information on this error, read the docs: [https://platform.openai.com/docs/guides/error-codes/api-errors.](https://platform.openai.com/docs/guides/error-codes/api-errors.)', 'type': 'insufficient_quota', 'param': None, 'code': 'insufficient_quota'}
```

The above errors are related to your OpenAI API account’s quota. There is no free usage of OpenAI’s API, so you will need to add funds using a credit card (see pay-as-you-go in the OpenAI settings at [platform.openai.com](http://platform.openai.com)). Once added, re-run your Python command and you should receive a successful return code.

Steps to resolve:

1. Add credits to your account [here](https://platform.openai.com/settings/organization/billing/overview) (min $5).
2. In `responses.create(model='gpt-4o', …)` specify one of the models available to you:

   <{IMAGE:image_1}>

3. You might need to recreate an API key after adding credits to your account and update it locally.",152af39a53
What should I do first when I see an 'insufficient_quota' error in my OpenAI request?,"First, check your OpenAI billing and add credits to your account. The `insufficient_quota` error means your API quota is exhausted, and there is no free API usage.

Steps:
1. Add credits to your account: https://platform.openai.com/settings/organization/billing/overview
2. Re-run your request.
3. If needed, recreate your API key after adding credits and update it locally.

","```json
RateLimitError: Error code: 429 - {'error': {'message': 'You exceeded your current quota, please check your plan and billing details. For more information on this error, read the docs: [https://platform.openai.com/docs/guides/error-codes/api-errors.](https://platform.openai.com/docs/guides/error-codes/api-errors.)', 'type': 'insufficient_quota', 'param': None, 'code': 'insufficient_quota'}
```

The above errors are related to your OpenAI API account’s quota. There is no free usage of OpenAI’s API, so you will need to add funds using a credit card (see pay-as-you-go in the OpenAI settings at [platform.openai.com](http://platform.openai.com)). Once added, re-run your Python command and you should receive a successful return code.

Steps to resolve:

1. Add credits to your account [here](https://platform.openai.com/settings/organization/billing/overview) (min $5).
2. In `responses.create(model='gpt-4o', …)` specify one of the models available to you:

   <{IMAGE:image_1}>

3. You might need to recreate an API key after adding credits to your account and update it locally.",152af39a53
"After adding credits, do I need to create a new API key for the API calls to work?",I don't know.,"```json
RateLimitError: Error code: 429 - {'error': {'message': 'You exceeded your current quota, please check your plan and billing details. For more information on this error, read the docs: [https://platform.openai.com/docs/guides/error-codes/api-errors.](https://platform.openai.com/docs/guides/error-codes/api-errors.)', 'type': 'insufficient_quota', 'param': None, 'code': 'insufficient_quota'}
```

The above errors are related to your OpenAI API account’s quota. There is no free usage of OpenAI’s API, so you will need to add funds using a credit card (see pay-as-you-go in the OpenAI settings at [platform.openai.com](http://platform.openai.com)). Once added, re-run your Python command and you should receive a successful return code.

Steps to resolve:

1. Add credits to your account [here](https://platform.openai.com/settings/organization/billing/overview) (min $5).
2. In `responses.create(model='gpt-4o', …)` specify one of the models available to you:

   <{IMAGE:image_1}>

3. You might need to recreate an API key after adding credits to your account and update it locally.",152af39a53
How do I check which OpenAI model I’m allowed to use in `responses.create()`?,I don’t know.,"```json
RateLimitError: Error code: 429 - {'error': {'message': 'You exceeded your current quota, please check your plan and billing details. For more information on this error, read the docs: [https://platform.openai.com/docs/guides/error-codes/api-errors.](https://platform.openai.com/docs/guides/error-codes/api-errors.)', 'type': 'insufficient_quota', 'param': None, 'code': 'insufficient_quota'}
```

The above errors are related to your OpenAI API account’s quota. There is no free usage of OpenAI’s API, so you will need to add funds using a credit card (see pay-as-you-go in the OpenAI settings at [platform.openai.com](http://platform.openai.com)). Once added, re-run your Python command and you should receive a successful return code.

Steps to resolve:

1. Add credits to your account [here](https://platform.openai.com/settings/organization/billing/overview) (min $5).
2. In `responses.create(model='gpt-4o', …)` specify one of the models available to you:

   <{IMAGE:image_1}>

3. You might need to recreate an API key after adding credits to your account and update it locally.",152af39a53
How much money do I actually need to spend to use the OpenAI API for this course?,"Using the OpenAI API for the course should cost very little. You can recharge starting from **$5**, and initial usage is usually **fractions of a cent**.

You **do not have to pay for OpenAI API** to complete the course homework — free or low-cost alternatives are available.","Using the OpenAI API for the course should cost very little. You can recharge starting from $5, but initial usage is usually fractions of one cent.",554d0eb78b
"Do I have to put in a lot of money upfront for the OpenAI API, or is the cost really small?","No — you don’t need to put in a lot upfront. The course says OpenAI API usage should cost very little, and you can usually recharge starting from **$5**. In practice, initial usage is often **fractions of a cent**. If you want, you can also use free or low-cost alternatives instead of OpenAI.","Using the OpenAI API for the course should cost very little. You can recharge starting from $5, but initial usage is usually fractions of one cent.",554d0eb78b
What’s the minimum I need to add to my OpenAI account before I can start using the API?,You can start by adding **$5 minimum** to your OpenAI account.,"Using the OpenAI API for the course should cost very little. You can recharge starting from $5, but initial usage is usually fractions of one cent.",554d0eb78b
"Will using the OpenAI API for the course end up costing me a lot, or just a tiny amount?","Using the OpenAI API for the course should cost very little — usually fractions of a cent at first. You can recharge starting from $5, but you likely won’t spend much for the homework.","Using the OpenAI API for the course should cost very little. You can recharge starting from $5, but initial usage is usually fractions of one cent.",554d0eb78b
"Is it okay to start with a $5 recharge, and how much does the API usually cost at the beginning?","Yes — it’s okay to start with a $5 recharge. The API usage at the beginning is usually very low, typically just fractions of one cent.","Using the OpenAI API for the course should cost very little. You can recharge starting from $5, but initial usage is usually fractions of one cent.",554d0eb78b
"Do I need to subscribe to the OpenAI API to finish the homework for this course, or are there free options I can use instead?","No, you don’t need to subscribe to the OpenAI API to finish the homework.

You can use free or low-cost alternatives instead, including:
- OpenAI-compatible hosted providers like Groq, OpenRouter, DeepSeek, Gemini, Z.ai, or Mistral
- Open-source models via Hugging Face
- Local models with Ollama, vLLM, or LM Studio

The course is not tied to OpenAI, so you can choose whatever provider is available and convenient for you.","No, you don't have to pay for this service in order to complete the course homeworks. You can use free or low-cost alternatives listed in the course GitHub repo.

See the course list of [OpenAI API alternatives](https://github.com/DataTalksClub/llm-zoomcamp/blob/main/awesome-llms.md#openai-api-alternatives).",85384a18e5
"Is paying for OpenAI required for the assignments in this module, or can I complete them with another service?","No — paying for OpenAI is **not required** for the assignments in this module. You can complete the homework with **free or low-cost alternatives** or even use another LLM provider such as **Gemini, Groq, OpenRouter, Azure OpenAI, or local models**.

You may need to adjust the code a bit depending on the provider, but the assignments are designed so you **don’t need a paid OpenAI service**.","No, you don't have to pay for this service in order to complete the course homeworks. You can use free or low-cost alternatives listed in the course GitHub repo.

See the course list of [OpenAI API alternatives](https://github.com/DataTalksClub/llm-zoomcamp/blob/main/awesome-llms.md#openai-api-alternatives).",85384a18e5
What should I use if I don’t want to spend money on OpenAI API during the course?,"You don’t have to use OpenAI at all. For free or no paid API usage, you can use:

- a **locally served model** with **Ollama**, **vLLM**, or **LM Studio** — this avoids external API calls
- or another **OpenAI-compatible provider** like **Groq, OpenRouter, DeepSeek, Gemini, Z.ai,** or **Mistral**

The course code usually works with just a `base_url`, API key, and model name change.","No, you don't have to pay for this service in order to complete the course homeworks. You can use free or low-cost alternatives listed in the course GitHub repo.

See the course list of [OpenAI API alternatives](https://github.com/DataTalksClub/llm-zoomcamp/blob/main/awesome-llms.md#openai-api-alternatives).",85384a18e5
Are there any low-cost or free alternatives to OpenAI API listed for this course’s homework?,"Yes. The course explicitly says you do **not** have to pay for OpenAI API to complete the homework. You can use **free or low-cost alternatives** listed in the course GitHub repo, including:

- **Groq**
- **OpenRouter**
- **DeepSeek**
- **Gemini**
- **Z.ai**
- **Mistral**
- **Hugging Face hosted models** like **Qwen** or **Llama**
- **Local models** via **Ollama**, **vLLM**, or **LM Studio**

The course also says anything with an **OpenAI-compatible endpoint** or a **locally served model** should work.","No, you don't have to pay for this service in order to complete the course homeworks. You can use free or low-cost alternatives listed in the course GitHub repo.

See the course list of [OpenAI API alternatives](https://github.com/DataTalksClub/llm-zoomcamp/blob/main/awesome-llms.md#openai-api-alternatives).",85384a18e5
"Can I get through the course without an OpenAI paid account, and where do I find the alternative APIs?","Yes — you can follow the course without an OpenAI paid account. The course is not tied to OpenAI, and you can use other providers or even run a model locally.

Where to find the alternatives:
- Check the course repo’s curated list: **[Awesome LLMs](https://github.com/DataTalksClub/llm-zoomcamp/blob/main/awesome-llms.md)**
- The course also mentions options like **Gemini, Groq, OpenRouter, DeepSeek, Z.ai, Mistral**, or local setups like **Ollama, vLLM, LM Studio**

If you use an OpenAI-compatible provider, you usually just change:
- the **`base_url`**
- the **API key**
- the **model name**

For Gemini in particular, the context shows the OpenAI-compatible endpoint:
- `https://generativelanguage.googleapis.com/v1beta/openai/`

I don’t know.","No, you don't have to pay for this service in order to complete the course homeworks. You can use free or low-cost alternatives listed in the course GitHub repo.

See the course list of [OpenAI API alternatives](https://github.com/DataTalksClub/llm-zoomcamp/blob/main/awesome-llms.md#openai-api-alternatives).",85384a18e5
Why does the course use uv instead of pip and virtualenv for setup?,"The course uses `uv` because it’s fast and convenient. It’s an all-in-one tool that replaces `pip`, `virtualenv`, `pip-tools`, `pipx`, `poetry`, `pyenv`, and `twine`, so instead of juggling several tools, you manage Python versions, virtual environments, and dependencies with one fast command and reproducible lockfiles.

You don’t have to use it — `pip` and `virtualenv` still work — but `uv` makes setup simpler and faster, which is why the lessons use it.","The course uses uv because it's fast and convenient. It's an all-in-one tool that replaces pip, virtualenv, pip-tools, pipx, poetry, pyenv, and twine — instead of juggling several tools, you manage Python versions, virtual environments, and dependencies through one fast command with reproducible lockfiles.

You're not required to use it — pip and virtualenv still work fine — but uv makes the setup simpler and faster, which is why the lessons use it.

Official docs: https://docs.astral.sh/uv/",f81dea8f7e
"Is uv basically replacing tools like pip, virtualenv, poetry, and pyenv?","Yes — basically.

According to the course, `uv` is an all-in-one tool that can replace `pip`, `virtualenv`, `pip-tools`, `pipx`, `poetry`, `pyenv`, and `twine`, so you manage Python versions, virtual environments, and dependencies through one tool.

That said, you’re not required to use it — `pip` and `virtualenv` still work fine. `uv` is just faster and simpler for the course setup.","The course uses uv because it's fast and convenient. It's an all-in-one tool that replaces pip, virtualenv, pip-tools, pipx, poetry, pyenv, and twine — instead of juggling several tools, you manage Python versions, virtual environments, and dependencies through one fast command with reproducible lockfiles.

You're not required to use it — pip and virtualenv still work fine — but uv makes the setup simpler and faster, which is why the lessons use it.

Official docs: https://docs.astral.sh/uv/",f81dea8f7e
"Do I have to use uv in the course, or can I stick with pip and virtualenv?","No, you’re not required to use `uv`. You can stick with `pip` and `virtualenv` if you want.

The course uses `uv` because it’s faster and simplifies setup, but `pip` and `virtualenv` still work fine.","The course uses uv because it's fast and convenient. It's an all-in-one tool that replaces pip, virtualenv, pip-tools, pipx, poetry, pyenv, and twine — instead of juggling several tools, you manage Python versions, virtual environments, and dependencies through one fast command with reproducible lockfiles.

You're not required to use it — pip and virtualenv still work fine — but uv makes the setup simpler and faster, which is why the lessons use it.

Official docs: https://docs.astral.sh/uv/",f81dea8f7e
What makes uv easier or faster than the usual Python workflow?,"`uv` is easier and faster because it’s an all-in-one tool with one fast command.

It replaces several separate tools — `pip`, `virtualenv`, `pip-tools`, `pipx`, `poetry`, `pyenv`, and `twine` — so you don’t have to juggle them. It also manages Python versions, virtual environments, dependencies, and reproducible lockfiles in a simpler workflow.

So compared with the usual Python setup, `uv` is mainly:
- faster
- more convenient
- simpler to use","The course uses uv because it's fast and convenient. It's an all-in-one tool that replaces pip, virtualenv, pip-tools, pipx, poetry, pyenv, and twine — instead of juggling several tools, you manage Python versions, virtual environments, and dependencies through one fast command with reproducible lockfiles.

You're not required to use it — pip and virtualenv still work fine — but uv makes the setup simpler and faster, which is why the lessons use it.

Official docs: https://docs.astral.sh/uv/",f81dea8f7e
"Does uv handle Python versions, environments, and dependencies all in one place?","Yes. According to the context, `uv` is an all-in-one tool that manages Python versions, virtual environments, and dependencies in one place.","The course uses uv because it's fast and convenient. It's an all-in-one tool that replaces pip, virtualenv, pip-tools, pipx, poetry, pyenv, and twine — instead of juggling several tools, you manage Python versions, virtual environments, and dependencies through one fast command with reproducible lockfiles.

You're not required to use it — pip and virtualenv still work fine — but uv makes the setup simpler and faster, which is why the lessons use it.

Official docs: https://docs.astral.sh/uv/",f81dea8f7e
Why does Jupyter say my OPENAI_API_KEY is missing even though I put it in a .env file?,"Jupyter usually won’t read your `.env` file automatically. You need to load it in the notebook before creating the OpenAI client.

Make sure you:

1. Install `python-dotenv`:
```bash
pip install python-dotenv
```

2. Load the `.env` file in your notebook:
```python
from dotenv import load_dotenv
load_dotenv()
```

3. Verify the variable name is exactly:
```bash
OPENAI_API_KEY=...
```

If `python-dotenv` isn’t installed or `load_dotenv()` isn’t called, Jupyter won’t see the key.","Make sure you installed and used `python-dotenv`.

```bash
pip install python-dotenv
```

Then load the `.env` file in the notebook before creating the OpenAI client:

```python
from dotenv import load_dotenv

load_dotenv()
```

Also check that the variable name in `.env` is exactly `OPENAI_API_KEY`.",86d99bbf21
Do I need python-dotenv for the notebook to read my OpenAI key?,"Yes — in the notebook you should use `python-dotenv` to load your `.env` file before creating the OpenAI client.

Example:

```bash
pip install python-dotenv
```

```python
from dotenv import load_dotenv

load_dotenv()
```

Also make sure your `.env` contains the key name exactly as:

```env
OPENAI_API_KEY=your_key_here
```

If you want, I can also show the minimal notebook setup.","Make sure you installed and used `python-dotenv`.

```bash
pip install python-dotenv
```

Then load the `.env` file in the notebook before creating the OpenAI client:

```python
from dotenv import load_dotenv

load_dotenv()
```

Also check that the variable name in `.env` is exactly `OPENAI_API_KEY`.",86d99bbf21
Where should I call load_dotenv() before creating the OpenAI client?,"Call `load_dotenv()` **after importing it and before creating the OpenAI client**.

Example:

```python
import os
from dotenv import load_dotenv
from openai import OpenAI

load_dotenv()

client = OpenAI(api_key=os.getenv(""OPENAI_API_KEY""))
```

So, in the notebook, load the `.env` file first, then create the client.","Make sure you installed and used `python-dotenv`.

```bash
pip install python-dotenv
```

Then load the `.env` file in the notebook before creating the OpenAI client:

```python
from dotenv import load_dotenv

load_dotenv()
```

Also check that the variable name in `.env` is exactly `OPENAI_API_KEY`.",86d99bbf21
